episode,step,reward,timestamp,cpu_percent,ram_percent,ram_used_gb,ram_available_gb,gpu_util_percent,gpu_mem_used_mb,gpu_mem_total_mb,gpu_mem_percent,action,penalty_ram_penalty,penalty_gpu_penalty,penalty_cpu_penalty,penalty_total_penalty
1850,18085,0.0,6085.161661148071,8.5,49.5,7.8035430908203125,7.972251892089844,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1850,18086,0.0,6085.488962650299,2.5,49.5,7.803440093994141,7.972354888916016,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1850,18087,0.0,6085.83484172821,0.0,49.5,7.802974700927734,7.972820281982422,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1850,18088,0.0,6086.18057179451,0.0,49.5,7.802783966064453,7.973011016845703,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1850,18089,0.0,6086.523318767548,0.9,49.5,7.8028411865234375,7.972953796386719,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1850,18090,0.0,6086.8712322711945,0.4,49.5,7.803302764892578,7.972492218017578,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1850,18091,0.0,6087.200984716415,0.0,49.5,7.803123474121094,7.9726715087890625,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1851,18092,0.0,6087.555826663971,0.7,49.5,7.80316162109375,7.972633361816406,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1851,18093,0.0,6087.892221212387,0.6,49.5,7.803287506103516,7.972507476806641,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1851,18094,5.0,6088.221587896347,0.3,49.5,7.803394317626953,7.972400665283203,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1851,18095,0.0,6088.555042028427,0.0,49.5,7.804622650146484,7.971172332763672,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1851,18096,5.0,6088.884573936462,0.0,49.5,7.802925109863281,7.972869873046875,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1851,18097,0.0,6089.2170560359955,0.0,49.5,7.801418304443359,7.974395751953125,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1851,18098,0.0,6089.558491945267,0.7,49.5,7.8015289306640625,7.974266052246094,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1851,18099,0.0,6089.89259147644,12.3,49.5,7.806671142578125,7.9691314697265625,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1851,18100,0.0,6090.224975824356,2.3,49.5,7.810977935791016,7.964817047119141,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1851,18101,-4.0,6090.560124158859,0.0,49.5,7.810890197753906,7.964916229248047,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1851,18102,0.0,6090.888211488724,0.0,49.5,7.809806823730469,7.9659881591796875,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1851,18103,0.0,6091.217714548111,0.0,49.5,7.810611724853516,7.965183258056641,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1851,18104,0.0,6091.564293384552,1.2,49.5,7.810718536376953,7.965076446533203,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1852,18105,8.0,6091.896068811417,6.1,49.5,7.810630798339844,7.9651641845703125,2,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1852,18106,2.0,6092.226603507996,0.9,49.5,7.809360504150391,7.966438293457031,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,3.0,3.0
1852,18107,0.0,6092.55767083168,0.0,49.5,7.8092803955078125,7.966514587402344,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1852,18108,0.0,6092.8862953186035,0.0,49.5,7.809444427490234,7.966350555419922,1,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1852,18109,-4.0,6093.218097686768,0.7,49.5,7.808998107910156,7.966796875,0,815.23828125,8192.0,9.951639175415039,1,0.0,0.0,0.0,0.0
1853,18110,10.0,6093.562710285187,0.0,49.5,7.809558868408203,7.966236114501953,2,815.23828125,8192.0,9.951639175415039,4,0.0,0.0,0.0,0.0
